,Personality Type,Name,Description
0,ISTJ,The Duty Fulfiller,"People with this type of personality are serious and quiet, interested in security and peaceful living. Other typical traits include extremely thorough, responsible, and reliable. They are also characterized by well-developed powers of concentration. Well-organized and diligent, they work steadily towards identified goals. They can usually accomplish the goal once they have set their mind to it."
1,ISTP,The Mechanic,"This category of people are action-oriented, logical and analytical. As risk-takers, they live for the moment. For example, they are often interested in and talented at extreme sports. In terms of social intercourse, they are loyal to their partners and to their internal value systems, but not overly concerned with respecting laws and rules if they get in the way of getting something done."
2,ISFJ,The Nurturer,"Interested in serving others, they are known as nurturers. Being warm, considerate, gentle, they are devoted caretakers who enjoy being helpful to others."
3,ISFP,The Artist,"Their qualities are as follows. Quiet, serious, sensitive and kind. Do not like conflict, and not likely to do things which may generate conflict. Loyal and faithful. Extremely well-developed senses, and aesthetic appreciation for beauty. They seek to build a personal environment that is both beautiful and practical."
4,INFJ,The Protector,"This type of character is featured by idealism, insight, trust and compassion. They seek harmony and cooperation; enjoy intellectual stimulation."
5,INFP,The Idealist,"This group of people are sensitive, innovative, idealistic, perceptive, caring and loyal. They highly value inner harmony and personal growth and thus focus on dreams and possibilities."
6,INTJ,The Scientist,"Just like scientists, INTJ people are independent, original, analytical, strategic and insightful. Have an exceptional ability to turn theories into solid plans of action. They highly value knowledge, competence, and structure. Driven by their own original ideas, they strive to achieve improvements."
7,INTP,The Thinker,"INTP people are logical, original, creative thinkers. They are exceptionally capable and driven to turn theories into clear understandings. Highly value knowledge, competence and logic. Quiet and reserved, individualistic, having no interest in leading or following others."
8,ESTP,The Doer,"Being friendly, adaptable and action-oriented, they are typical ""Doers"" who are focused on immediate results. Living in the attitude of here-and-now, they're risk-takers who live fast-paced lifestyles. Their weakness is being impatient with long explanations."
9,ESTJ,The Guardian,"Practical, traditional, and systematic. Likely to be athletic. Not interested in theory or abstraction unless they see the practical application. Have clear visions of the way things should be. Loyal and hard-working. Like to be in charge, run the show and get things done in an orderly fashion."
10,ESFP,The Performer,"People-oriented and fun-loving, they make things more fun for others by their enjoyment. Living for the moment, they love new experiences. They are spontaneous, tactful and flexible. Interested in serving others in tangible way. Likely to be the center of attention in social situations. Well-developed common sense and practical ability."
11,ESFJ,The Caregiver,"Warm-hearted, outgoing, popular, selfless and conscientious. Tend to put the needs of others over their own needs. Have strong sense of responsibility and duty. Enjoy helping and pleasing other. Need positive reinforcement to feel good about themselves."
12,ENFP,The Inspirer,"Enthusiastic, idealistic, and creative. Able to do almost anything that interests them. Great people skills. Need to live life in accordance with their inner values. Excited by new ideas, but bored with details. Open-minded and flexible, with a broad range of interests and abilities."
13,ENFJ,The Giver,"Caring and sensitive, diplomatic with outstanding people skills. Externally focused, with real concern for how others think and feel. Usually dislike being alone and value connection with others. They see everything from the human angle, and dislike impersonal analysis. Very effective at managing people issues, and leading group discussions."
14,ENTP,The Visionary,"Inventive, resourceful, versatile and intellectually quick. Enjoy new ideas and challenges and debating issues. Generally outspoken and assertive. Excellent ability to understand concepts and apply logic to find solutions."
15,ENTJ,The Executive,"Assertive and outspoken - they are driven to lead. They can often work efficiently with excellent ability to understand difficult organizational problems and create solid solutions. Intelligent and well-informed, they usually excel at public speaking. They value knowledge and competence, and usually have little patience with inefficiency or disorganization."
